EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,JobLevel,YearsAtCompany,YearsSinceLastPromotion,MonthlyIncome,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,Attrition
E00017,36,Male,Divorced,Bachelor,R&D,Research Scientist,2,5,2,4785,Yes,Travel_Rarely,9,2,1,1,3,No
E00018,32,Female,Single,Bachelor,R&D,Senior Engineer,1,12,5,5040,No,Travel_Rarely,2,4,2,3,3,No
E00019,38,Female,Single,Bachelor,Marketing,Brand Manager,1,3,3,10809,No,Travel_Rarely,3,4,3,4,4,No
E00020,34,Male,Single,High School,R&D,Research Scientist,3,5,0,7926,No,Non-Travel,7,3,1,2,3,No
E00021,38,Female,Divorced,PhD,R&D,Research Scientist,2,0,0,4352,Yes,Travel_Rarely,9,1,3,1,3,Yes
E00022,25,Female,Single,High School,R&D,Senior Engineer,3,1,1,8488,No,Travel_Rarely,1,2,4,2,3,No
E00023,27,Male,Divorced,High School,Sales,Account Executive,3,9,3,4158,No,Travel_Rarely,6,4,3,4,3,No
E00024,33,Female,Single,PhD,Sales,Sales Manager,3,0,0,3891,Yes,Travel_Frequently,22,3,1,2,3,Yes
E00025,33,Male,Single,High School,R&D,Lab Technician,2,0,0,8277,No,Travel_Rarely,2,4,2,1,4,No
E00026,42,Female,Single,Bachelor,Sales,Sales Executive,1,8,6,3957,No,Non-Travel,6,2,4,4,3,No
E00027,36,Female,Single,Bachelor,Finance,Financial Analyst,3,9,0,3589,No,Travel_Frequently,13,4,3,4,3,No
E00028,45,Female,Divorced,Bachelor,HR,HR Specialist,3,9,3,6067,No,Travel_Rarely,9,1,1,3,3,Yes
E00029,33,Male,Married,High School,Sales,Account Executive,2,2,1,8446,No,Travel_Rarely,2,1,2,1,3,No
E00030,28,Female,Married,Bachelor,Operations,Operations Analyst,1,0,0,4016,Yes,Non-Travel,7,1,1,4,3,No
E00031,36,Female,Married,Master,Marketing,Content Strategist,3,3,1,4477,No,Travel_Rarely,12,3,2,3,4,No
E00032,43,Male,Divorced,Master,IT,Software Engineer,3,2,0,4241,Yes,Travel_Rarely,6,1,4,1,3,Yes
E00033,24,Female,Divorced,Master,R&D,Lab Technician,2,6,1,9072,Yes,Travel_Rarely,3,1,2,3,3,Yes
E00034,50,Male,Married,High School,Operations,Logistics Coordinator,4,0,0,5394,No,Travel_Rarely,1,1,3,1,3,No
E00035,50,Female,Single,Master,Sales,Account Executive,2,4,1,3154,No,Travel_Rarely,8,2,3,3,3,No
E00036,31,Female,Single,High School,Operations,Operations Manager,2,0,0,5480,No,Travel_Rarely,3,3,1,1,3,No
E00037,55,Female,Divorced,High School,HR,HR Specialist,2,12,0,2493,Yes,Non-Travel,1,3,2,4,4,No
E00038,35,Male,Married,Bachelor,Sales,Sales Executive,2,0,0,4822,Yes,Travel_Rarely,13,2,1,3,3,No
E00039,39,Male,Divorced,High School,Sales,Sales Manager,2,4,0,4394,Yes,Travel_Frequently,11,3,1,3,3,No
E00040,41,Male,Married,High School,HR,Recruiter,1,20,0,2685,No,Travel_Rarely,15,4,2,2,3,No
E00041,43,Male,Married,High School,R&D,Senior Engineer,2,0,0,8656,No,Non-Travel,3,3,4,2,3,Yes
E00042,44,Male,Single,High School,IT,IT Support,1,10,6,5313,No,Travel_Rarely,7,2,2,4,4,No
E00043,26,Female,Married,PhD,Marketing,Marketing Specialist,3,5,0,3475,No,Travel_Rarely,1,4,3,3,3,No
E00044,42,Female,Single,Master,Marketing,Content Strategist,3,2,0,5223,No,Travel_Rarely,7,3,1,1,3,No
E00045,38,Male,Married,Bachelor,Sales,Sales Executive,2,0,0,4778,No,Travel_Rarely,3,4,3,3,3,No
E00046,43,Male,Divorced,Master,HR,HR Specialist,3,7,3,4451,No,Travel_Frequently,4,4,1,2,3,No
E00047,35,Female,Married,Master,Operations,Operations Manager,1,0,0,3823,No,Travel_Rarely,10,1,3,3,3,No
E00048,35,Male,Divorced,Master,Operations,Operations Analyst,1,14,0,3132,No,Travel_Frequently,1,2,4,4,4,No
E00049,38,Female,Married,PhD,Finance,Finance Manager,2,0,0,6037,No,Travel_Rarely,4,1,3,3,3,Yes
E00050,36,Female,Divorced,Master,Finance,Finance Manager,3,3,0,5710,Yes,Travel_Rarely,4,2,4,2,3,No
E00051,29,Male,Single,PhD,Sales,Sales Executive,1,11,2,6423,Yes,Travel_Frequently,19,3,2,2,3,Yes
E00052,39,Female,Married,PhD,Operations,Operations Analyst,3,13,5,8382,No,Non-Travel,1,4,4,2,3,No
E00053,46,Female,Single,Bachelor,R&D,Research Scientist,2,19,7,4860,No,Travel_Rarely,14,1,1,4,3,No
E00054,26,Female,Married,PhD,IT,Software Engineer,2,2,2,5716,No,Travel_Rarely,30,4,2,4,4,No
E00055,31,Male,Divorced,Master,IT,IT Support,1,2,2,7944,No,Travel_Rarely,1,2,4,4,3,No
E00056,40,Female,Single,Master,IT,IT Support,3,3,1,6321,No,Travel_Rarely,16,2,3,4,4,Yes
E00057,41,Male,Divorced,Bachelor,HR,HR Business Partner,1,5,0,11113,No,Travel_Rarely,3,1,2,2,3,No
E00058,32,Male,Married,PhD,Sales,Sales Manager,1,10,1,6568,No,Travel_Frequently,15,4,3,4,3,No
E00059,20,Female,Married,PhD,IT,Software Engineer,2,2,2,5854,Yes,Travel_Rarely,1,4,4,1,3,No
E00060,39,Female,Single,PhD,Operations,Logistics Coordinator,2,0,0,3657,No,Travel_Rarely,8,2,4,2,3,Yes
E00061,31,Male,Married,High School,HR,Recruiter,1,0,0,4201,No,Travel_Rarely,1,4,2,4,3,No
E00062,34,Female,Married,Master,Sales,Account Executive,1,4,0,8805,Yes,Travel_Rarely,3,4,2,4,3,Yes
E00063,22,Female,Married,High School,R&D,Lab Technician,3,2,1,11104,No,Travel_Rarely,1,3,3,4,4,No
E00064,27,Male,Single,Bachelor,Finance,Financial Analyst,1,3,0,4168,No,Travel_Rarely,1,1,3,2,3,No
E00065,51,Male,Divorced,Bachelor,R&D,Research Scientist,1,7,1,8926,No,Travel_Rarely,4,2,2,2,3,No
E00066,35,Male,Single,Master,Finance,Finance Manager,1,1,0,11249,No,Travel_Rarely,7,3,3,2,3,No
E00067,30,Male,Single,Bachelor,Sales,Account Executive,1,0,0,4821,No,Travel_Frequently,4,1,3,4,4,No
E00068,31,Female,Divorced,Master,Sales,Account Executive,2,0,0,7155,Yes,Travel_Rarely,1,3,1,1,4,Yes
E00069,36,Male,Married,Master,Sales,Account Executive,3,3,0,8417,No,Travel_Rarely,5,3,1,4,3,No
E00070,29,Female,Divorced,PhD,Marketing,Brand Manager,3,0,0,3023,No,Non-Travel,6,2,4,2,3,No
E00071,28,Male,Married,PhD,Finance,Accountant,1,0,0,5049,No,Travel_Rarely,5,3,3,2,3,No
E00072,42,Female,Single,PhD,R&D,Lab Technician,2,1,0,6479,No,Travel_Frequently,6,4,3,1,3,No
E00073,39,Female,Divorced,High School,R&D,Lab Technician,1,1,1,4987,No,Travel_Frequently,3,3,3,3,3,No
E00074,33,Male,Divorced,PhD,Operations,Operations Analyst,3,2,1,5363,No,Travel_Rarely,11,1,2,4,3,No
E00075,38,Male,Married,Bachelor,Marketing,Content Strategist,3,2,0,5439,No,Travel_Rarely,7,4,4,1,3,Yes
E00076,36,Female,Married,PhD,HR,Recruiter,3,0,0,7549,No,Travel_Rarely,1,3,4,3,3,No
E00077,43,Female,Single,Bachelor,HR,HR Business Partner,3,0,0,4083,No,Travel_Frequently,1,3,2,1,4,No
E00078,39,Male,Married,Bachelor,R&D,Research Scientist,1,0,0,10712,No,Travel_Rarely,10,4,3,3,3,No
E00079,39,Male,Divorced,Master,HR,HR Specialist,1,1,1,13968,No,Travel_Frequently,4,3,1,2,4,Yes
E00080,31,Female,Married,PhD,Marketing,Marketing Specialist,4,0,0,6510,No,Travel_Rarely,21,4,1,1,3,No
E00081,40,Male,Married,PhD,HR,HR Specialist,2,5,1,6639,No,Travel_Frequently,21,1,3,4,3,Yes
E00082,25,Female,Single,Bachelor,Sales,Account Executive,2,2,0,18815,No,Non-Travel,12,1,2,2,3,No
E00083,26,Female,Married,PhD,Sales,Account Executive,2,3,2,2850,No,Travel_Rarely,2,4,2,4,3,No
E00084,41,Female,Divorced,High School,HR,Recruiter,1,0,0,5984,No,Travel_Rarely,6,1,1,2,3,No
E00085,33,Female,Divorced,PhD,R&D,Research Scientist,2,0,0,3648,No,Travel_Frequently,1,2,1,2,3,Yes
E00086,37,Female,Single,Bachelor,HR,HR Specialist,1,1,1,19081,No,Travel_Rarely,5,2,3,3,3,No
E00087,47,Male,Married,Bachelor,HR,Recruiter,2,0,0,2361,Yes,Travel_Rarely,8,2,4,1,4,Yes
E00088,33,Female,Divorced,Master,Sales,Sales Executive,1,0,0,7468,Yes,Travel_Rarely,2,2,3,3,3,Yes
E00089,31,Male,Married,Master,Marketing,Brand Manager,1,4,2,7481,No,Travel_Rarely,14,3,4,4,3,No
E00090,33,Male,Divorced,Master,Operations,Operations Manager,1,4,0,4465,Yes,Non-Travel,1,1,1,2,4,No
E00091,38,Male,Divorced,PhD,Operations,Operations Analyst,1,2,1,3418,Yes,Travel_Rarely,7,2,4,4,3,No
E00092,28,Female,Divorced,High School,Marketing,Brand Manager,1,3,3,2726,Yes,Travel_Rarely,16,1,4,3,4,Yes
E00093,37,Female,Divorced,High School,IT,Data Analyst,4,2,0,6422,No,Travel_Rarely,30,3,4,4,3,No
E00094,42,Female,Divorced,High School,Finance,Financial Analyst,2,0,0,2883,No,Non-Travel,1,3,3,3,3,Yes
E00095,38,Female,Divorced,PhD,Marketing,Content Strategist,1,4,1,9341,No,Non-Travel,5,4,4,1,4,No
E00096,40,Female,Married,PhD,Marketing,Brand Manager,2,0,0,5132,No,Travel_Rarely,2,1,2,3,3,No
E00097,27,Female,Single,Bachelor,Sales,Sales Executive,4,3,2,9644,Yes,Travel_Rarely,1,2,2,3,4,No
E00098,33,Female,Divorced,Master,IT,Software Engineer,1,4,0,5988,No,Non-Travel,1,4,1,2,3,No
E00099,35,Female,Single,Bachelor,Finance,Accountant,1,5,3,13317,No,Travel_Rarely,2,4,2,4,3,No
E00100,32,Female,Single,Master,IT,Software Engineer,2,2,2,3315,No,Travel_Rarely,13,3,4,3,3,No
E00101,43,Female,Married,PhD,Marketing,Brand Manager,1,1,1,7380,Yes,Travel_Frequently,9,4,2,4,4,No
E00102,35,Female,Single,Master,Finance,Accountant,2,0,0,8676,No,Travel_Frequently,20,2,2,4,3,Yes
E00103,35,Male,Single,Master,Marketing,Brand Manager,1,8,0,8157,No,Travel_Rarely,2,4,4,2,3,No
E00104,43,Male,Married,Bachelor,IT,Software Engineer,3,0,0,3755,No,Travel_Rarely,6,4,1,4,3,Yes
E00105,45,Female,Divorced,PhD,Sales,Sales Manager,1,9,4,3076,Yes,Travel_Rarely,16,3,3,4,3,No
E00106,41,Female,Single,High School,HR,Recruiter,1,12,1,10409,No,Travel_Frequently,16,4,1,1,3,No
E00107,31,Male,Single,Master,Finance,Financial Analyst,1,2,0,11545,No,Travel_Rarely,2,1,4,2,3,No
E00108,43,Male,Divorced,PhD,IT,Software Engineer,1,0,0,2514,No,Non-Travel,12,3,3,3,3,No
E00109,44,Female,Divorced,Bachelor,Operations,Logistics Coordinator,4,13,10,5451,Yes,Travel_Rarely,22,2,2,2,3,Yes
E00110,30,Female,Married,High School,Finance,Finance Manager,2,4,0,2961,Yes,Travel_Rarely,12,2,2,4,3,No
E00111,48,Female,Divorced,Master,IT,IT Support,2,5,0,4643,No,Travel_Rarely,7,3,2,1,3,No
E00112,32,Female,Married,High School,Marketing,Brand Manager,2,0,0,5099,No,Travel_Frequently,15,3,4,3,3,Yes
E00113,41,Female,Married,High School,R&D,Lab Technician,1,0,0,14832,No,Travel_Rarely,1,3,3,3,3,Yes
E00114,24,Male,Divorced,Master,Operations,Logistics Coordinator,1,5,3,1500,No,Travel_Rarely,9,1,4,3,3,No
E00115,41,Male,Married,PhD,R&D,Senior Engineer,3,7,2,5106,No,Travel_Rarely,9,2,3,2,4,No
E00116,39,Female,Divorced,PhD,Sales,Account Executive,2,4,4,4482,Yes,Travel_Rarely,13,3,2,1,4,No
E00117,46,Female,Married,Master,R&D,Research Scientist,2,0,0,4156,No,Travel_Frequently,7,2,3,3,3,No
E00118,39,Male,Divorced,PhD,Marketing,Brand Manager,1,4,3,8425,Yes,Travel_Rarely,11,1,4,1,3,Yes
E00119,35,Male,Married,Master,IT,DevOps Engineer,2,4,0,6805,No,Travel_Rarely,1,1,4,1,3,No
E00120,39,Male,Married,High School,Marketing,Content Strategist,2,1,1,4836,No,Travel_Rarely,11,3,4,3,4,Yes
E00121,50,Female,Divorced,Master,Operations,Logistics Coordinator,1,5,1,5827,No,Travel_Rarely,1,3,2,1,4,No
E00122,32,Female,Married,High School,Marketing,Brand Manager,3,5,5,9945,Yes,Travel_Frequently,4,1,2,1,3,No
E00123,52,Female,Divorced,Bachelor,Sales,Sales Executive,3,2,0,3708,Yes,Travel_Rarely,8,2,4,4,3,No
E00124,34,Female,Single,Master,Finance,Finance Manager,2,8,4,7536,No,Travel_Frequently,11,1,4,4,3,No
E00125,41,Female,Divorced,Master,R&D,Lab Technician,3,0,0,10917,Yes,Travel_Rarely,9,4,2,3,3,Yes
E00126,40,Female,Single,Bachelor,Sales,Sales Manager,2,1,0,4301,No,Travel_Rarely,2,3,2,1,3,No
E00127,31,Male,Divorced,Bachelor,Marketing,Content Strategist,3,4,3,2016,Yes,Travel_Rarely,5,1,1,3,4,Yes
E00128,26,Male,Divorced,High School,Sales,Account Executive,2,1,1,17692,Yes,Travel_Rarely,3,2,2,2,3,Yes
E00129,33,Male,Single,High School,HR,HR Specialist,2,0,0,4416,No,Travel_Rarely,12,2,3,2,3,Yes
E00130,29,Male,Divorced,PhD,HR,HR Specialist,1,0,0,6795,No,Travel_Rarely,1,3,1,2,3,Yes
E00131,42,Male,Married,Bachelor,Operations,Operations Analyst,1,5,0,7165,No,Travel_Frequently,6,1,4,4,3,No
E00132,45,Female,Married,PhD,Operations,Operations Analyst,4,2,0,7191,Yes,Travel_Rarely,2,3,4,1,3,Yes
E00133,33,Female,Divorced,Bachelor,Marketing,Marketing Specialist,1,15,2,7265,No,Travel_Rarely,6,4,4,1,3,No
E00134,31,Female,Married,PhD,Sales,Sales Executive,2,1,0,3613,Yes,Travel_Rarely,2,3,3,4,3,No
E00135,39,Male,Married,Master,Sales,Account Executive,1,6,6,8032,Yes,Travel_Rarely,16,1,2,4,3,No
E00136,27,Female,Divorced,Master,IT,IT Support,4,2,2,5724,No,Travel_Rarely,2,4,4,1,4,No
E00137,49,Male,Married,High School,HR,HR Specialist,2,5,0,11170,Yes,Travel_Rarely,28,4,1,1,4,No
E00138,29,Female,Divorced,High School,Marketing,Content Strategist,2,8,1,2856,No,Travel_Rarely,3,3,2,1,4,No
E00139,32,Female,Single,Bachelor,Finance,Accountant,3,14,3,3626,Yes,Travel_Rarely,28,4,1,3,3,No
E00140,24,Female,Single,Master,R&D,Senior Engineer,2,1,1,2338,Yes,Travel_Rarely,7,4,2,1,3,Yes
E00141,32,Female,Divorced,Master,Operations,Operations Analyst,3,0,0,5129,No,Travel_Frequently,7,4,1,3,3,Yes
E00142,47,Female,Single,Bachelor,HR,HR Business Partner,1,1,1,5181,No,Travel_Rarely,1,1,2,2,3,No
E00143,42,Female,Married,Bachelor,Marketing,Content Strategist,1,1,1,5788,No,Travel_Frequently,1,1,1,2,3,Yes
E00144,36,Male,Divorced,High School,HR,HR Business Partner,3,4,1,5652,No,Non-Travel,1,3,1,1,3,No
E00145,45,Male,Divorced,High School,HR,HR Business Partner,2,1,1,3759,Yes,Travel_Frequently,9,4,4,4,3,No
E00146,30,Female,Single,Bachelor,HR,HR Business Partner,4,12,4,5920,No,Travel_Frequently,1,1,3,4,3,No
E00147,45,Male,Single,Master,Finance,Finance Manager,1,1,0,10241,No,Non-Travel,30,1,1,2,3,Yes
E00148,50,Male,Single,PhD,HR,HR Business Partner,2,17,1,9436,No,Travel_Rarely,16,1,1,4,3,No
E00149,46,Male,Married,High School,Operations,Logistics Coordinator,3,7,3,3454,Yes,Non-Travel,6,2,3,1,3,Yes
E00150,41,Female,Married,High School,Finance,Financial Analyst,1,1,1,3377,No,Travel_Rarely,2,3,4,4,3,No
E00151,50,Female,Single,PhD,Finance,Financial Analyst,1,4,1,9456,No,Travel_Rarely,1,3,2,4,4,No
E00152,29,Female,Married,Master,IT,Software Engineer,1,2,2,11503,No,Travel_Rarely,13,2,4,4,3,No
E00153,42,Male,Married,Master,R&D,Lab Technician,2,1,1,6812,Yes,Travel_Rarely,2,2,1,1,3,Yes
E00154,40,Male,Single,Bachelor,Marketing,Content Strategist,2,7,2,2539,Yes,Travel_Rarely,4,2,2,1,3,Yes
E00155,40,Female,Divorced,Master,IT,Software Engineer,4,0,0,3882,Yes,Travel_Rarely,26,2,4,4,3,No
E00156,38,Female,Married,High School,IT,DevOps Engineer,2,7,6,4626,No,Travel_Frequently,13,2,4,1,3,No
E00157,29,Male,Married,Master,HR,Recruiter,3,4,0,4454,Yes,Travel_Rarely,12,1,3,4,4,No
E00158,33,Male,Married,Bachelor,Sales,Account Executive,1,7,2,13613,No,Travel_Rarely,7,1,4,4,3,No
E00159,41,Female,Divorced,High School,HR,Recruiter,3,1,0,7231,No,Travel_Rarely,7,4,2,1,3,No
E00160,50,Female,Divorced,Bachelor,Operations,Logistics Coordinator,1,19,1,7233,No,Travel_Frequently,9,2,1,2,3,No
E00161,41,Male,Divorced,Master,HR,HR Business Partner,1,1,0,12491,No,Travel_Frequently,1,3,4,4,3,No
E00162,29,Male,Married,High School,Sales,Sales Manager,2,1,1,9546,No,Travel_Rarely,3,1,4,3,3,Yes
E00163,51,Female,Single,High School,Operations,Logistics Coordinator,2,2,0,7248,No,Travel_Rarely,1,2,3,3,4,No
E00164,29,Male,Divorced,PhD,HR,Recruiter,1,0,0,12241,No,Travel_Rarely,20,4,3,2,3,No
E00165,26,Male,Married,PhD,Operations,Operations Manager,2,8,1,5206,No,Travel_Rarely,1,1,3,3,3,No
E00166,43,Male,Divorced,High School,R&D,Research Scientist,2,0,0,7530,No,Travel_Rarely,2,2,2,1,3,Yes
E00167,19,Male,Divorced,PhD,Marketing,Brand Manager,4,1,1,7544,No,Travel_Frequently,30,2,4,2,3,Yes
E00168,25,Female,Single,Bachelor,Sales,Sales Manager,3,1,1,4927,No,Travel_Rarely,12,3,2,4,4,No
E00169,34,Female,Married,PhD,HR,HR Business Partner,1,0,0,4272,No,Travel_Frequently,1,2,3,4,4,No
E00170,47,Female,Divorced,High School,R&D,Research Scientist,1,11,0,18200,No,Travel_Rarely,4,2,3,1,3,No
E00171,30,Female,Married,Bachelor,Marketing,Content Strategist,2,0,0,5518,No,Travel_Rarely,4,1,3,1,3,No
E00172,36,Male,Married,High School,IT,IT Support,1,4,0,7654,Yes,Travel_Rarely,12,1,2,4,3,No
E00173,37,Female,Single,High School,Finance,Finance Manager,1,18,0,5158,Yes,Non-Travel,9,3,2,4,3,No
E00174,32,Female,Divorced,Bachelor,HR,HR Specialist,3,3,1,3009,No,Travel_Frequently,1,3,2,2,3,Yes
E00175,23,Male,Single,PhD,IT,IT Support,3,2,2,5425,Yes,Travel_Rarely,4,4,1,1,3,Yes
E00176,33,Female,Divorced,PhD,Sales,Sales Manager,1,0,0,8851,Yes,Travel_Rarely,1,2,3,1,3,Yes
E00177,35,Female,Married,High School,Sales,Sales Executive,1,0,0,7790,No,Travel_Rarely,1,4,1,2,3,No
E00178,54,Male,Divorced,Master,Operations,Operations Manager,1,6,1,2129,No,Travel_Frequently,17,2,4,2,3,No
E00179,29,Female,Married,Master,Sales,Account Executive,1,5,0,9585,No,Travel_Rarely,4,1,4,4,3,Yes
E00180,32,Male,Divorced,Master,Marketing,Marketing Specialist,3,4,0,6798,No,Travel_Rarely,1,3,1,3,3,No
E00181,54,Female,Divorced,PhD,R&D,Research Scientist,2,0,0,6383,Yes,Travel_Rarely,25,3,3,2,3,No
E00182,31,Male,Single,Bachelor,Marketing,Marketing Specialist,1,1,1,3860,Yes,Non-Travel,1,2,1,4,3,Yes
E00183,46,Male,Married,Master,Sales,Sales Manager,2,1,0,8296,Yes,Travel_Rarely,7,3,4,4,3,Yes
E00184,47,Female,Married,PhD,IT,Software Engineer,2,4,3,4616,No,Travel_Rarely,30,3,3,1,4,No
E00185,49,Female,Single,PhD,Finance,Accountant,1,7,5,7544,Yes,Travel_Rarely,3,2,4,4,3,Yes
E00186,39,Female,Divorced,Master,Sales,Sales Manager,2,2,0,7791,Yes,Travel_Rarely,17,2,3,3,3,Yes
E00187,43,Male,Divorced,Master,HR,HR Business Partner,3,8,4,4617,No,Travel_Rarely,11,4,2,4,3,No
E00188,28,Female,Married,Bachelor,Operations,Operations Manager,2,0,0,6952,Yes,Travel_Rarely,1,3,1,1,4,No
E00189,31,Female,Married,PhD,Sales,Sales Executive,2,3,1,7815,No,Travel_Rarely,2,4,1,2,3,Yes
E00190,42,Male,Divorced,Bachelor,Operations,Operations Analyst,3,5,0,6959,No,Travel_Rarely,1,2,4,3,3,No
E00191,34,Male,Single,Bachelor,Operations,Operations Manager,2,7,2,4093,Yes,Travel_Rarely,3,4,3,3,3,No
E00192,23,Female,Single,Master,Finance,Finance Manager,1,3,0,3126,No,Travel_Rarely,30,4,1,3,3,No
E00193,51,Female,Single,PhD,Marketing,Brand Manager,1,9,2,5014,Yes,Travel_Rarely,7,2,1,2,3,No
E00194,49,Female,Married,Bachelor,Sales,Account Executive,1,7,2,6512,Yes,Travel_Rarely,6,3,3,1,3,No
E00195,54,Male,Single,Bachelor,Marketing,Content Strategist,1,5,1,10339,Yes,Travel_Rarely,1,2,3,2,3,Yes
E00196,43,Male,Divorced,High School,IT,IT Support,2,6,1,9195,Yes,Travel_Rarely,3,1,3,3,3,No
E00197,35,Male,Single,Master,Sales,Sales Manager,2,4,2,5682,No,Travel_Rarely,1,4,4,4,3,No
E00198,41,Male,Single,PhD,Marketing,Marketing Specialist,1,8,0,10294,No,Non-Travel,3,4,4,3,3,No
E00199,37,Female,Divorced,Bachelor,Operations,Operations Analyst,3,1,0,2708,No,Travel_Rarely,4,1,2,3,3,Yes
E00200,34,Female,Single,Master,HR,Recruiter,1,0,0,6585,No,Travel_Rarely,11,3,1,3,3,Yes
E00201,27,Female,Divorced,High School,Operations,Logistics Coordinator,2,6,0,6876,No,Travel_Rarely,2,1,2,2,3,Yes
E00202,37,Female,Divorced,High School,IT,Software Engineer,1,10,1,4112,No,Travel_Rarely,1,1,1,3,3,No
E00203,19,Female,Married,PhD,Finance,Finance Manager,2,1,1,8935,Yes,Travel_Rarely,4,3,3,4,3,Yes
E00204,36,Female,Single,Master,Sales,Account Executive,2,5,1,3642,No,Travel_Rarely,7,1,2,4,3,No
E00205,29,Male,Married,High School,Operations,Operations Analyst,3,8,4,4168,No,Travel_Rarely,1,3,3,3,3,No
E00206,59,Male,Single,High School,HR,HR Specialist,1,3,0,5783,No,Travel_Rarely,15,4,1,3,3,No
E00207,19,Female,Single,Bachelor,HR,HR Business Partner,1,1,1,3810,No,Travel_Rarely,1,4,2,2,3,No
E00208,36,Male,Married,PhD,Finance,Finance Manager,1,1,1,4363,No,Travel_Frequently,1,4,4,3,3,No
E00209,33,Female,Married,High School,R&D,Research Scientist,2,15,1,2970,No,Travel_Rarely,1,3,1,1,4,No
E00210,29,Female,Married,High School,IT,Software Engineer,1,7,0,10821,No,Travel_Rarely,2,4,2,3,4,No
E00211,52,Female,Divorced,Master,Finance,Financial Analyst,3,7,0,9759,No,Travel_Rarely,12,2,3,3,3,Yes
E00212,34,Female,Divorced,Master,IT,Software Engineer,2,8,0,5326,Yes,Travel_Frequently,1,2,1,4,4,No
E00213,27,Male,Divorced,Master,IT,Data Analyst,1,2,2,7263,No,Travel_Rarely,27,2,4,1,4,Yes
E00214,37,Female,Single,PhD,IT,IT Support,3,18,4,10066,No,Non-Travel,1,4,2,2,3,No
E00215,46,Female,Married,High School,Operations,Logistics Coordinator,1,5,3,19250,No,Travel_Rarely,9,3,3,4,4,No
E00216,41,Male,Divorced,PhD,HR,HR Business Partner,3,2,1,5572,No,Travel_Rarely,3,1,4,3,3,No
E00217,43,Female,Single,Bachelor,HR,Recruiter,1,0,0,7677,No,Travel_Rarely,8,2,1,4,3,Yes
E00218,32,Female,Single,PhD,Sales,Account Executive,3,1,1,5730,Yes,Travel_Rarely,9,1,2,1,4,Yes
E00219,31,Male,Divorced,Master,Marketing,Marketing Specialist,1,0,0,6571,No,Travel_Rarely,9,4,4,1,3,No
E00220,40,Female,Divorced,Master,Marketing,Brand Manager,1,1,1,9536,No,Travel_Rarely,12,4,3,2,4,No
E00221,39,Female,Divorced,Master,Marketing,Content Strategist,1,4,1,5385,No,Travel_Rarely,6,3,4,2,3,No
E00222,37,Female,Divorced,Master,R&D,Lab Technician,1,16,2,5517,No,Travel_Frequently,2,3,2,4,3,No
E00223,40,Male,Married,High School,HR,HR Specialist,3,6,4,5341,Yes,Travel_Rarely,9,4,4,3,3,No
E00224,31,Female,Single,Bachelor,HR,Recruiter,2,0,0,2569,No,Non-Travel,10,1,3,4,3,No
E00225,44,Male,Single,High School,IT,DevOps Engineer,3,10,1,12961,No,Travel_Rarely,15,3,2,1,3,No
E00226,30,Female,Divorced,PhD,Marketing,Content Strategist,3,0,0,7019,No,Travel_Frequently,8,2,2,1,3,Yes
