OrderID,Date,Region,Channel,Segment,Category,Quantity,UnitPrice,Discount,Revenue,Cost,Profit
ORD0000033,2025-08-30,North,Partner,Enterprise,Home,1,327.87,0.0,327.87,243.27,84.6
ORD0000034,2023-02-13,East,Online,Enterprise,Sports,1,270.03,0.05,256.53,187.65,68.88
ORD0000035,2024-03-21,South,Retail,Consumer,Sports,1,138.37,0.0,138.37,99.17,39.2
ORD0000036,2022-11-06,Central,Partner,Enterprise,Beauty,4,110.01,0.2,352.03,246.72,105.31
ORD0000037,2023-12-19,North,Retail,SMB,Apparel,3,91.33,0.0,273.99,152.04,121.95
ORD0000038,2023-02-03,South,Wholesale,SMB,Apparel,1,23.64,0.0,23.64,14.59,9.05
ORD0000039,2025-01-19,East,Partner,Enterprise,Sports,1,255.23,0.0,255.23,193.8,61.43
ORD0000040,2025-04-09,South,Online,SMB,Beauty,1,59.17,0.1,53.25,30.89,22.36
ORD0000041,2023-01-11,South,Partner,Enterprise,Beauty,1,15.41,0.2,12.33,7.21,5.12
ORD0000042,2022-09-04,Central,Partner,Consumer,Beauty,1,21.48,0.15,18.26,12.22,6.04
ORD0000043,2025-02-21,North,Partner,Enterprise,Electronics,2,448.49,0.0,896.98,502.04,394.94
ORD0000044,2022-02-27,Central,Retail,Enterprise,Electronics,1,643.25,0.1,578.93,448.02,130.91
ORD0000045,2023-07-22,South,Wholesale,Enterprise,Sports,1,167.2,0.2,133.76,88.27,45.49
ORD0000046,2023-02-19,East,Online,Enterprise,Sports,2,67.03,0.0,134.06,85.83,48.23
ORD0000047,2023-05-08,North,Retail,Enterprise,Sports,1,49.74,0.15,42.28,26.2,16.08
ORD0000048,2025-08-10,West,Retail,Enterprise,Grocery,5,25.14,0.0,125.7,94.66,31.04
ORD0000049,2022-07-12,South,Retail,Enterprise,Sports,1,268.93,0.0,268.93,209.14,59.79
ORD0000050,2024-06-02,East,Online,Enterprise,Beauty,2,57.4,0.05,109.06,64.89,44.17
ORD0000051,2024-01-20,North,Partner,SMB,Electronics,1,537.98,0.05,511.08,332.87,178.21
ORD0000052,2024-11-25,South,Online,Consumer,Beauty,1,46.02,0.0,46.02,26.51,19.51
ORD0000053,2023-06-28,South,Partner,Enterprise,Home,2,54.25,0.2,86.8,51.36,35.44
ORD0000054,2023-06-14,East,Online,SMB,Sports,1,70.33,0.1,63.3,43.12,20.18
ORD0000055,2022-04-28,North,Online,SMB,Grocery,1,15.08,0.0,15.08,9.23,5.85
ORD0000056,2022-06-21,North,Partner,Consumer,Beauty,1,104.9,0.0,104.9,64.08,40.82
ORD0000057,2023-11-26,North,Retail,Consumer,Beauty,1,58.86,0.0,58.86,40.79,18.07
ORD0000058,2022-11-27,East,Retail,SMB,Home,2,58.14,0.0,116.28,88.89,27.39
ORD0000059,2024-07-01,North,Wholesale,Consumer,Beauty,1,85.58,0.0,85.58,53.9,31.68
ORD0000060,2022-02-01,Central,Partner,Consumer,Electronics,2,933.08,0.1,1679.54,1301.56,377.98
ORD0000061,2024-07-04,West,Partner,Enterprise,Electronics,6,858.32,0.15,4377.43,2842.71,1534.72
ORD0000062,2023-09-23,South,Partner,SMB,Grocery,2,16.83,0.0,33.66,21.17,12.49
ORD0000063,2022-04-22,East,Partner,Consumer,Apparel,1,21.85,0.15,18.57,13.38,5.19
ORD0000064,2022-04-24,East,Retail,Enterprise,Electronics,1,865.23,0.05,821.97,616.66,205.31
ORD0000065,2023-08-24,North,Wholesale,SMB,Electronics,1,659.45,0.0,659.45,403.5,255.95
ORD0000066,2023-11-05,East,Retail,SMB,Beauty,1,48.97,0.0,48.97,37.81,11.16
ORD0000067,2023-01-10,Central,Retail,Consumer,Electronics,7,535.33,0.0,3747.31,2470.11,1277.2
ORD0000068,2024-10-30,West,Online,SMB,Electronics,6,290.85,0.2,1396.08,796.66,599.42
ORD0000069,2022-02-16,Central,Retail,Enterprise,Home,4,149.53,0.0,598.12,340.59,257.53
ORD0000070,2025-05-06,South,Wholesale,Enterprise,Sports,1,236.36,0.15,200.91,156.0,44.91
ORD0000071,2025-06-21,Central,Partner,Enterprise,Grocery,4,12.96,0.2,41.47,30.78,10.69
ORD0000072,2025-12-06,Central,Online,Enterprise,Beauty,1,29.63,0.1,26.67,19.29,7.38
ORD0000073,2025-04-11,North,Online,Consumer,Grocery,1,42.56,0.15,36.18,25.25,10.93
ORD0000074,2022-09-30,West,Online,Enterprise,Grocery,1,24.84,0.0,24.84,15.81,9.03
ORD0000075,2022-02-08,North,Partner,Consumer,Grocery,2,34.23,0.0,68.46,45.36,23.1
ORD0000076,2024-10-27,West,Wholesale,Consumer,Beauty,1,24.65,0.1,22.18,12.54,9.64
ORD0000077,2023-06-28,West,Partner,SMB,Apparel,1,114.81,0.0,114.81,69.24,45.57
ORD0000078,2022-06-07,Central,Retail,Consumer,Sports,1,275.83,0.0,275.83,200.36,75.47
ORD0000079,2025-05-13,East,Retail,Consumer,Apparel,1,63.13,0.15,53.66,38.69,14.97
ORD0000080,2024-09-14,South,Partner,SMB,Electronics,1,685.8,0.15,582.93,333.95,248.98
ORD0000081,2025-12-22,North,Retail,SMB,Beauty,1,44.98,0.05,42.73,28.08,14.65
ORD0000082,2022-06-25,Central,Partner,SMB,Sports,1,34.73,0.05,32.99,18.72,14.27
ORD0000083,2024-03-03,North,Retail,Enterprise,Apparel,1,139.15,0.0,139.15,78.92,60.23
ORD0000084,2024-12-09,Central,Wholesale,Consumer,Home,3,382.99,0.0,1148.97,791.38,357.59
ORD0000085,2025-12-11,South,Online,SMB,Home,3,123.3,0.05,351.4,225.12,126.28
ORD0000086,2025-10-27,East,Partner,SMB,Sports,1,139.46,0.15,118.54,69.03,49.51
ORD0000087,2022-09-05,West,Online,Consumer,Home,1,40.63,0.2,32.5,20.4,12.1
ORD0000088,2025-12-31,North,Partner,SMB,Electronics,3,1101.57,0.0,3304.71,2010.05,1294.66
ORD0000089,2025-04-21,North,Wholesale,Consumer,Electronics,4,560.71,0.05,2130.7,1542.2,588.5
ORD0000090,2022-04-16,East,Partner,Enterprise,Grocery,2,20.71,0.0,41.42,25.16,16.26
ORD0000091,2023-10-09,North,Partner,Enterprise,Apparel,3,120.51,0.2,289.22,222.68,66.54
ORD0000092,2025-01-29,West,Partner,Enterprise,Apparel,6,113.54,0.0,681.24,520.94,160.3
ORD0000093,2022-10-11,Central,Retail,Consumer,Grocery,1,52.82,0.05,50.18,28.16,22.02
ORD0000094,2024-08-25,East,Partner,Enterprise,Sports,4,122.79,0.0,491.16,299.03,192.13
ORD0000095,2023-05-04,South,Retail,Consumer,Home,1,213.95,0.15,181.86,116.52,65.34
ORD0000096,2023-03-02,West,Wholesale,SMB,Beauty,1,110.13,0.05,104.62,70.78,33.84
ORD0000097,2024-05-25,East,Online,SMB,Apparel,3,91.21,0.0,273.63,156.21,117.42
ORD0000098,2023-05-05,North,Partner,SMB,Home,2,133.01,0.1,239.42,142.81,96.61
ORD0000099,2024-04-27,North,Partner,SMB,Grocery,1,33.83,0.05,32.14,19.67,12.47
ORD0000100,2025-03-22,South,Online,SMB,Home,2,85.31,0.1,153.56,103.15,50.41
ORD0000101,2023-05-24,East,Online,Consumer,Sports,1,137.93,0.05,131.03,85.08,45.95
ORD0000102,2022-03-08,Central,Partner,Consumer,Sports,1,221.57,0.2,177.26,116.79,60.47
ORD0000103,2022-05-30,West,Partner,Consumer,Sports,3,281.16,0.2,674.78,453.05,221.73
ORD0000104,2022-08-12,North,Partner,Consumer,Apparel,1,40.07,0.1,36.06,27.89,8.17
ORD0000105,2025-02-03,North,Wholesale,Consumer,Electronics,2,201.37,0.0,402.74,243.05,159.69
ORD0000106,2025-07-07,North,Online,Consumer,Home,2,230.17,0.05,437.32,310.79,126.53
ORD0000107,2023-09-08,South,Online,Consumer,Beauty,3,114.07,0.0,342.21,218.76,123.45
ORD0000108,2025-01-05,South,Partner,Enterprise,Home,3,398.69,0.0,1196.07,921.64,274.43
ORD0000109,2023-04-26,East,Online,Consumer,Beauty,1,40.94,0.05,38.89,27.69,11.2
ORD0000110,2023-02-02,East,Retail,Enterprise,Sports,1,268.91,0.15,228.57,147.79,80.78
ORD0000111,2024-05-19,West,Wholesale,Enterprise,Home,1,121.64,0.0,121.64,86.37,35.27
ORD0000112,2024-03-22,Central,Online,Consumer,Apparel,1,20.88,0.0,20.88,15.03,5.85
ORD0000113,2024-10-12,West,Retail,SMB,Apparel,1,60.52,0.2,48.42,28.79,19.63
ORD0000114,2023-08-28,South,Partner,SMB,Electronics,2,1151.93,0.05,2188.67,1510.89,677.78
ORD0000115,2025-09-24,North,Retail,Consumer,Electronics,3,1148.76,0.0,3446.28,2626.21,820.07
ORD0000116,2025-05-05,West,Partner,Enterprise,Apparel,6,74.0,0.15,377.4,212.79,164.61
ORD0000117,2023-10-06,East,Retail,Consumer,Grocery,1,11.23,0.0,11.23,8.58,2.65
ORD0000118,2025-08-29,West,Wholesale,SMB,Beauty,1,93.36,0.0,93.36,58.04,35.32
ORD0000119,2024-06-25,East,Partner,Consumer,Apparel,2,34.16,0.0,68.32,41.97,26.35
ORD0000120,2025-02-23,West,Online,Consumer,Apparel,1,69.42,0.2,55.54,41.04,14.5
ORD0000121,2025-12-15,South,Wholesale,SMB,Sports,1,82.84,0.1,74.56,56.78,17.78
ORD0000122,2024-08-29,West,Online,SMB,Electronics,1,831.66,0.0,831.66,612.7,218.96
ORD0000123,2022-03-13,North,Wholesale,SMB,Sports,1,46.9,0.0,46.9,28.57,18.33
ORD0000124,2023-07-12,East,Wholesale,SMB,Home,3,384.77,0.1,1038.88,581.8,457.08
ORD0000125,2022-01-08,North,Online,Consumer,Grocery,4,46.56,0.2,148.99,103.67,45.32
ORD0000126,2022-08-08,West,Wholesale,SMB,Sports,1,223.2,0.05,212.04,163.14,48.9
ORD0000127,2024-10-07,East,Retail,Enterprise,Apparel,1,140.65,0.0,140.65,77.64,63.01
ORD0000128,2023-04-29,Central,Online,Enterprise,Home,3,350.05,0.05,997.64,631.73,365.91
ORD0000129,2023-02-09,North,Partner,Enterprise,Sports,8,233.28,0.0,1866.24,1201.46,664.78
ORD0000130,2025-01-20,North,Wholesale,Enterprise,Home,1,97.85,0.05,92.96,70.02,22.94
ORD0000131,2022-06-22,West,Retail,Consumer,Apparel,1,32.53,0.05,30.9,24.02,6.88
ORD0000132,2022-09-30,Central,Online,SMB,Sports,4,154.45,0.15,525.13,317.2,207.93
ORD0000133,2023-08-25,East,Retail,SMB,Home,5,244.08,0.0,1220.4,742.53,477.87
ORD0000134,2023-05-22,Central,Retail,SMB,Apparel,1,51.89,0.0,51.89,31.9,19.99
ORD0000135,2022-05-13,South,Online,Enterprise,Sports,1,97.95,0.0,97.95,65.3,32.65
ORD0000136,2024-08-08,South,Partner,SMB,Electronics,2,302.33,0.05,574.43,432.57,141.86
ORD0000137,2022-03-24,Central,Retail,Consumer,Home,4,123.84,0.0,495.36,294.05,201.31
ORD0000138,2024-02-02,North,Online,Enterprise,Beauty,1,105.94,0.05,100.64,69.31,31.33
ORD0000139,2025-05-05,East,Retail,Consumer,Grocery,2,39.1,0.0,78.2,43.68,34.52
ORD0000140,2023-02-22,South,Online,SMB,Home,3,53.76,0.15,137.09,95.95,41.14
ORD0000141,2024-04-17,South,Online,SMB,Grocery,1,25.45,0.1,22.91,14.25,8.66
ORD0000142,2025-01-27,Central,Retail,Enterprise,Sports,1,47.08,0.0,47.08,34.51,12.57
ORD0000143,2024-12-29,West,Wholesale,Enterprise,Electronics,1,853.06,0.05,810.41,575.35,235.06
ORD0000144,2023-09-22,East,Partner,SMB,Sports,1,287.36,0.0,287.36,207.31,80.05
ORD0000145,2022-02-07,South,Online,SMB,Home,3,272.01,0.05,775.23,556.19,219.04
ORD0000146,2022-11-17,East,Partner,Consumer,Sports,1,60.66,0.0,60.66,39.03,21.63
ORD0000147,2022-09-24,West,Online,Enterprise,Electronics,1,251.7,0.0,251.7,175.52,76.18
ORD0000148,2025-06-28,East,Retail,Enterprise,Home,1,305.41,0.0,305.41,178.22,127.19
ORD0000149,2022-12-18,South,Wholesale,Consumer,Electronics,1,308.79,0.05,293.35,212.19,81.16
ORD0000150,2022-03-31,West,Online,Enterprise,Sports,1,114.92,0.1,103.43,78.92,24.51
ORD0000151,2025-06-24,South,Partner,Enterprise,Grocery,1,50.35,0.0,50.35,35.11,15.24
ORD0000152,2023-02-06,Central,Retail,SMB,Sports,1,79.4,0.0,79.4,44.43,34.97
ORD0000153,2024-01-06,South,Online,Enterprise,Electronics,2,349.47,0.15,594.1,438.21,155.89
ORD0000154,2025-10-08,Central,Partner,Enterprise,Electronics,1,867.9,0.0,867.9,500.85,367.05
ORD0000155,2025-07-08,West,Partner,Enterprise,Home,1,273.65,0.0,273.65,187.18,86.47
ORD0000156,2024-01-23,Central,Partner,SMB,Sports,1,165.97,0.0,165.97,92.18,73.79
ORD0000157,2023-04-27,South,Partner,SMB,Sports,1,236.16,0.2,188.93,139.5,49.43
ORD0000158,2022-08-08,West,Online,Consumer,Electronics,6,328.46,0.05,1872.22,1187.04,685.18
ORD0000159,2025-07-27,Central,Online,Consumer,Apparel,10,30.69,0.15,260.87,162.3,98.57
ORD0000160,2024-10-29,North,Online,Consumer,Sports,1,206.24,0.2,164.99,95.91,69.08
ORD0000161,2022-09-27,South,Retail,Consumer,Sports,1,107.73,0.2,86.18,65.56,20.62
ORD0000162,2023-12-20,Central,Wholesale,SMB,Beauty,3,94.4,0.0,283.2,176.85,106.35
ORD0000163,2022-10-22,East,Retail,SMB,Home,5,220.8,0.05,1048.8,627.09,421.71
ORD0000164,2024-02-02,East,Wholesale,SMB,Electronics,1,398.94,0.05,378.99,222.5,156.49
ORD0000165,2022-12-12,East,Partner,Enterprise,Home,3,81.43,0.1,219.86,123.38,96.48
ORD0000166,2024-12-03,Central,Partner,Enterprise,Beauty,4,87.32,0.0,349.28,212.35,136.93
ORD0000167,2024-01-31,East,Wholesale,Consumer,Home,2,175.27,0.0,350.54,239.35,111.19
ORD0000168,2024-06-24,East,Wholesale,SMB,Apparel,4,42.98,0.15,146.13,112.57,33.56
ORD0000169,2025-08-02,North,Retail,Consumer,Beauty,1,112.49,0.0,112.49,80.84,31.65
ORD0000170,2023-08-19,North,Retail,SMB,Beauty,1,80.69,0.05,76.66,51.2,25.46
ORD0000171,2023-04-11,Central,Wholesale,SMB,Beauty,1,83.58,0.0,83.58,47.01,36.57
ORD0000172,2022-08-06,East,Retail,Consumer,Beauty,1,52.5,0.0,52.5,33.86,18.64
ORD0000173,2024-01-21,South,Retail,SMB,Beauty,5,101.99,0.0,509.95,296.28,213.67
ORD0000174,2022-07-16,East,Partner,SMB,Electronics,1,838.21,0.2,670.57,471.45,199.12
ORD0000175,2022-01-24,Central,Partner,Enterprise,Electronics,2,844.95,0.1,1520.91,1148.77,372.14
ORD0000176,2024-11-26,North,Online,Enterprise,Grocery,1,32.11,0.0,32.11,24.33,7.78
ORD0000177,2022-02-21,North,Online,Enterprise,Sports,1,80.13,0.0,80.13,45.15,34.98
ORD0000178,2025-02-02,Central,Partner,Enterprise,Grocery,1,56.75,0.0,56.75,36.61,20.14
ORD0000179,2022-12-24,West,Online,SMB,Beauty,1,47.49,0.0,47.49,32.96,14.53
ORD0000180,2024-06-13,West,Retail,Consumer,Grocery,1,55.17,0.0,55.17,39.76,15.41
ORD0000181,2022-08-04,East,Online,SMB,Home,1,123.63,0.0,123.63,71.5,52.13
ORD0000182,2025-07-26,Central,Wholesale,SMB,Beauty,1,86.32,0.15,73.37,53.66,19.71
ORD0000183,2025-08-07,East,Retail,Enterprise,Apparel,2,31.1,0.1,55.98,30.99,24.99
ORD0000184,2023-02-20,West,Wholesale,Enterprise,Apparel,1,117.0,0.0,117.0,69.52,47.48
ORD0000185,2023-05-05,Central,Partner,SMB,Sports,1,275.04,0.15,233.78,178.14,55.64
ORD0000186,2024-12-22,South,Wholesale,Consumer,Grocery,1,5.35,0.0,5.35,3.48,1.87
ORD0000187,2024-03-12,South,Online,Consumer,Beauty,1,76.46,0.1,68.81,52.26,16.55
ORD0000188,2022-08-18,South,Online,Consumer,Electronics,1,821.97,0.0,821.97,517.28,304.69
ORD0000189,2022-03-27,North,Online,Consumer,Apparel,5,110.04,0.15,467.67,261.81,205.86
ORD0000190,2025-04-24,North,Partner,Consumer,Home,3,111.75,0.2,268.2,180.44,87.76
ORD0000191,2023-05-20,North,Wholesale,SMB,Apparel,1,46.41,0.0,46.41,25.89,20.52
ORD0000192,2022-07-24,East,Wholesale,SMB,Apparel,1,32.72,0.2,26.18,18.29,7.89
ORD0000193,2024-05-17,North,Wholesale,SMB,Home,1,47.53,0.0,47.53,36.31,11.22
ORD0000194,2025-05-17,North,Partner,Consumer,Beauty,1,64.99,0.0,64.99,44.99,20.0
ORD0000195,2024-06-12,North,Retail,Enterprise,Beauty,1,96.17,0.0,96.17,63.27,32.9
ORD0000196,2022-07-06,Central,Retail,SMB,Beauty,1,101.08,0.0,101.08,65.73,35.35
ORD0000197,2022-04-21,South,Partner,Enterprise,Electronics,5,547.8,0.0,2739.0,1816.07,922.93
ORD0000198,2023-12-13,South,Retail,SMB,Beauty,1,42.36,0.0,42.36,26.06,16.3
ORD0000199,2022-12-06,Central,Online,Enterprise,Electronics,2,1138.71,0.2,1821.94,1035.96,785.98
ORD0000200,2023-10-31,North,Partner,Enterprise,Home,1,74.25,0.05,70.54,53.27,17.27
ORD0000201,2022-02-21,Central,Retail,SMB,Home,3,114.2,0.0,342.6,222.16,120.44
ORD0000202,2025-07-15,Central,Online,SMB,Apparel,1,142.71,0.0,142.71,95.94,46.77
ORD0000203,2025-04-06,Central,Wholesale,Consumer,Home,3,227.82,0.2,546.77,406.75,140.02
ORD0000204,2024-08-06,South,Wholesale,SMB,Sports,6,216.05,0.0,1296.3,885.64,410.66
ORD0000205,2025-08-09,Central,Retail,Enterprise,Grocery,2,18.09,0.0,36.18,22.12,14.06
ORD0000206,2022-11-16,South,Retail,SMB,Apparel,1,114.01,0.1,102.61,68.76,33.85
ORD0000207,2023-01-23,South,Online,Consumer,Home,2,391.05,0.15,664.78,517.75,147.03
ORD0000208,2024-02-26,East,Partner,SMB,Apparel,2,147.9,0.2,236.64,146.59,90.05
ORD0000209,2023-02-06,West,Partner,Consumer,Electronics,2,837.98,0.0,1675.96,1030.02,645.94
ORD0000210,2022-01-26,Central,Wholesale,SMB,Sports,1,260.67,0.05,247.64,175.7,71.94
ORD0000211,2022-02-15,South,Partner,Enterprise,Apparel,7,53.44,0.15,317.97,204.48,113.49
ORD0000212,2025-03-21,Central,Retail,Enterprise,Beauty,6,93.66,0.05,533.86,397.5,136.36
ORD0000213,2023-01-07,North,Partner,Consumer,Grocery,1,11.83,0.05,11.24,6.99,4.25
ORD0000214,2024-03-30,West,Partner,SMB,Grocery,1,44.19,0.0,44.19,26.85,17.34
ORD0000215,2022-02-10,South,Wholesale,Consumer,Beauty,1,105.15,0.1,94.64,66.75,27.89
ORD0000216,2024-03-07,Central,Retail,Consumer,Sports,9,275.21,0.0,2476.89,1384.02,1092.87
ORD0000217,2023-02-14,Central,Retail,Enterprise,Beauty,3,51.56,0.2,123.74,84.41,39.33
ORD0000218,2024-09-01,Central,Wholesale,SMB,Beauty,2,16.69,0.2,26.7,19.78,6.92
ORD0000219,2024-07-24,North,Wholesale,Enterprise,Apparel,3,148.74,0.0,446.22,285.7,160.52
ORD0000220,2022-04-26,North,Partner,SMB,Home,1,138.77,0.05,131.83,74.37,57.46
ORD0000221,2025-07-11,South,Wholesale,Enterprise,Grocery,1,42.12,0.1,37.91,23.16,14.75
ORD0000222,2024-03-31,West,Retail,Consumer,Beauty,1,117.01,0.2,93.61,72.17,21.44
ORD0000223,2022-09-22,Central,Retail,Consumer,Electronics,1,1009.57,0.15,858.13,510.1,348.03
ORD0000224,2023-12-25,West,Partner,SMB,Grocery,1,40.13,0.2,32.1,23.53,8.57
ORD0000225,2025-01-27,South,Wholesale,Enterprise,Grocery,4,11.88,0.2,38.02,25.02,13.0
ORD0000226,2024-02-10,West,Online,Enterprise,Grocery,1,18.95,0.05,18.0,12.71,5.29
ORD0000227,2023-07-30,West,Partner,Enterprise,Home,1,128.19,0.0,128.19,79.95,48.24
ORD0000228,2025-07-29,East,Partner,Consumer,Electronics,1,859.26,0.0,859.26,502.78,356.48
ORD0000229,2022-06-24,Central,Wholesale,Enterprise,Beauty,2,110.11,0.2,176.18,135.09,41.09
ORD0000230,2025-04-07,East,Wholesale,Enterprise,Electronics,3,857.3,0.0,2571.9,1977.55,594.35
ORD0000231,2022-07-27,West,Wholesale,Consumer,Beauty,2,29.99,0.0,59.98,35.55,24.43
ORD0000232,2023-03-04,Central,Online,Enterprise,Sports,1,243.75,0.0,243.75,168.23,75.52
ORD0000233,2025-01-28,South,Online,Enterprise,Grocery,3,51.13,0.0,153.39,101.81,51.58
ORD0000234,2024-06-17,West,Retail,Consumer,Grocery,1,53.55,0.1,48.2,27.82,20.38
ORD0000235,2024-08-27,South,Partner,Consumer,Sports,3,180.44,0.05,514.25,338.08,176.17
ORD0000236,2024-10-17,South,Wholesale,SMB,Apparel,1,90.14,0.2,72.11,51.84,20.27
ORD0000237,2025-11-26,East,Partner,SMB,Beauty,1,67.25,0.0,67.25,49.99,17.26
ORD0000238,2025-10-16,North,Online,Enterprise,Electronics,1,380.52,0.0,380.52,264.96,115.56
ORD0000239,2022-04-04,North,Partner,SMB,Grocery,2,45.51,0.0,91.02,66.99,24.03
ORD0000240,2022-10-23,East,Online,Enterprise,Electronics,1,413.36,0.05,392.69,272.45,120.24
ORD0000241,2024-01-20,South,Wholesale,SMB,Home,4,210.83,0.1,758.99,514.18,244.81
ORD0000242,2023-12-02,East,Wholesale,SMB,Sports,1,97.92,0.0,97.92,72.48,25.44
ORD0000243,2024-04-06,East,Retail,Enterprise,Home,4,221.35,0.0,885.4,664.74,220.66
ORD0000244,2024-10-05,South,Online,Consumer,Electronics,3,530.9,0.0,1592.7,1137.24,455.46
ORD0000245,2024-03-27,North,Partner,SMB,Grocery,1,35.49,0.05,33.72,22.78,10.94
ORD0000246,2022-08-11,Central,Online,Enterprise,Electronics,2,246.4,0.2,394.24,300.38,93.86
ORD0000247,2025-01-18,Central,Online,Consumer,Beauty,1,54.48,0.0,54.48,37.82,16.66
ORD0000248,2022-03-22,North,Retail,Consumer,Grocery,3,39.85,0.15,101.62,73.72,27.9
ORD0000249,2024-05-13,South,Wholesale,Enterprise,Electronics,1,1114.08,0.15,946.97,523.76,423.21
ORD0000250,2025-12-25,East,Online,SMB,Home,1,350.48,0.0,350.48,226.76,123.72
ORD0000251,2025-03-05,Central,Online,Consumer,Grocery,4,36.81,0.0,147.24,97.84,49.4
ORD0000252,2024-05-12,North,Partner,Enterprise,Beauty,1,88.05,0.05,83.65,54.6,29.05
ORD0000253,2025-04-27,Central,Online,Consumer,Grocery,1,58.94,0.05,55.99,40.71,15.28
ORD0000254,2025-08-12,West,Online,Consumer,Sports,1,87.31,0.0,87.31,60.61,26.7
ORD0000255,2025-11-01,North,Retail,SMB,Grocery,1,11.69,0.2,9.35,5.33,4.02
ORD0000256,2022-02-06,South,Online,SMB,Home,3,298.97,0.0,896.91,586.29,310.62
ORD0000257,2025-11-24,Central,Partner,SMB,Apparel,1,114.86,0.0,114.86,70.92,43.94
ORD0000258,2025-10-03,North,Online,Consumer,Home,4,368.87,0.0,1475.48,1054.91,420.57
ORD0000259,2025-08-25,East,Retail,SMB,Grocery,2,49.95,0.0,99.9,63.88,36.02
ORD0000260,2025-06-01,West,Retail,Consumer,Electronics,1,516.28,0.1,464.65,333.33,131.32
ORD0000261,2022-08-28,West,Partner,SMB,Home,9,383.4,0.0,3450.6,2397.59,1053.01
ORD0000262,2024-07-16,East,Online,Enterprise,Home,1,322.46,0.1,290.21,181.9,108.31
ORD0000263,2025-08-26,Central,Online,Consumer,Grocery,1,49.11,0.1,44.2,27.69,16.51
ORD0000264,2025-05-16,West,Retail,SMB,Home,2,250.48,0.0,500.96,318.93,182.03
ORD0000265,2023-08-04,South,Online,SMB,Grocery,1,5.09,0.0,5.09,3.11,1.98
ORD0000266,2022-10-16,Central,Partner,SMB,Beauty,1,30.43,0.2,24.34,17.85,6.49
